Kỳ,Trường_Viện_Khoa,Mã_lớp,Mã_lớp_kèm,Mã_HP,Tên_HP,Khối_lượng,Ghi_chú,Buổi_số,Thứ,Thời_gian,BĐ,KT,Kíp,Tuần,Phòng
20251,TTNNHT,161179,161179,ET-LUH-K69,Tiếng Đức 3 (A2),6(5-1.6-0-8),[SIE]-ET-LUH-K69 (Nhóm 2)S,2,Thu,0825-1145,3,6,Sáng,"2-9, 11-19",VDZ
20251,TTNNHT,161180,161180,ET-LUH-K69,Tiếng Đức 3 (A2),6(5-1.6-0-8),[SIE]-ET-LUH-K69 (Nhóm 3)S,1,Tue,0920-1145,4,6,Sáng,"2-9, 11-19",VDZ
20251,TTNNHT,161180,161180,ET-LUH-K69,Tiếng Đức 3 (A2),6(5-1.6-0-8),[SIE]-ET-LUH-K69 (Nhóm 3)S,2,Thu,0825-1145,3,6,Sáng,"2-9, 11-19",VDZ
20251,KNN,161183,161183,ET-LUH-K69,Tiếng Anh 3 (A2.1),3(2-2-0-6),[SIE]-ET-LUH-K69 (Nhóm 1)S,1,Mon,0825-1145,3,6,Sáng,"2-9, 11-19",D7-301
20251,KNN,161184,161184,ET-LUH-K69,Tiếng Anh 3 (A2.1),3(2-2-0-6),[SIE]-ET-LUH-K69 (Nhóm 2)S,1,Mon,0825-1145,3,6,Sáng,"2-9, 11-19",D7-306
20251,KNN,161185,161185,ET-LUH-K69,Tiếng Anh 3 (A2.1),3(2-2-0-6),[SIE]-ET-LUH-K69 (Nhóm 3)S,1,Mon,0825-1145,3,6,Sáng,"2-9, 11-19",D5-401
20251,TTNNHT,161198,161198,ET-LUH-K68,Tiếng Đức 5 (B1),6(5-1.6-0-8),[SIE]-ET-LUH-K68 (Nhóm 1)S,1,Wed,0920-1145,4,6,Sáng,"2-9, 11-19",VDZ
20251,TTNNHT,161198,161198,ET-LUH-K68,Tiếng Đức 5 (B1),6(5-1.6-0-8),[SIE]-ET-LUH-K68 (Nhóm 1)S,2,Fri,0825-1145,3,6,Sáng,"2-9, 11-19",VDZ
20251,TTNNHT,161199,161199,ET-LUH-K68,Tiếng Đức 5 (B1),6(5-1.6-0-8),[SIE]-ET-LUH-K68 (Nhóm 2)S,1,Wed,0920-1145,4,6,Sáng,"2-9, 11-19",VDZ
20251,TTNNHT,161199,161199,ET-LUH-K68,Tiếng Đức 5 (B1),6(5-1.6-0-8),[SIE]-ET-LUH-K68 (Nhóm 2)S,2,Fri,0825-1145,3,6,Sáng,"2-9, 11-19",VDZ
20251,KML,161208,161208,ET-LUH-K68,Tư tưởng Hồ Chí Minh,2(2-0-0-4),[SIE-Blend]-ET-LUH-K68+ME-LUH-K68S,1,Fri,0645-0815,1,2,Sáng,"3,5,7,9,11,13,15,17,19",D7-404
20251,TDDT,161211,161211,ET4260Q,Đa phương tiện,2(2-1-0-4),[SIE]-ET-LUH-K67C,1,Tue,1505-1730,4,6,Chiều,"2-9, 11-19",C7-111
20251,TDDT,161506,161506,EE4341,Kỹ thuật Robot,3(3-1-0-6),**Tài năng ĐKTĐH-K67S,1,Wed,0825-1145,3,6,Sáng,"2-9,11-19",C7-214
20251,TDDT,161507,161507,EE3426,Hệ thống cung cấp điện (BTL),3(3-1-0-6),**Tài năng ĐKTĐH-K67S,1,Thu,0645-0910,1,3,Sáng,"2-9,11-19",C7-214
20251,TDDT,161508,161508,EE4342,Hệ thống điều khiển thông minh,3(3-1-0-6),**Tài năng ĐKTĐH-K67S,1,Fri,0645-1005,1,4,Sáng,"2-9,11-19",C7-214
20251,TDDT,161509,161509,EE4346,Thị giác máy tính,2(2-1-0-4),**Tài năng ĐKTĐH-K67S,1,Thu,0920-1145,4,6,Sáng,"2-9,11-19",C7-214
20251,TDDT,161510,161510,EE4348,Kiến trúc và giao thức truyền thông trong IoT,3(2-2-0-6),**Tài năng ĐKTĐH-K67S,1,Wed,0645-0815,1,2,Sáng,"2-9,11-19",C7-214
20251,TDDT,161510,161510,EE4348,Kiến trúc và giao thức truyền thông trong IoT,3(2-2-0-6),**Tài năng ĐKTĐH-K67S,2,Fri,1015-1145,5,6,Sáng,"2-9,11-19",C7-214
20251,TDDT,161511,161511,ET3180,Thông tin vô tuyến,3(3-0-1-6),**Tài năng ĐTVT-K67S,1,Mon,0645-0910,1,3,Sáng,"2-9,11-19",C7-214
20251,TDDT,161512,161512,ET3310,Lý thuyết mật mã,3(3-0-1-6),**Tài năng ĐTVT-K67S,1,Mon,0920-1145,4,6,Sáng,"2-9,11-19",C7-214
20251,TDDT,161513,161513,ET4291,Hệ điều hành,3(3-1-0-6),**Tài năng ĐTVT-K67S,1,Tue,0825-1145,3,6,Sáng,"2-9,11-19",C7-214
20251,TDDT,161514,161514,ET4070,Cơ sở truyền số liệu,3(3-0-1-6),**Tài năng ĐTVT-K67S,1,Wed,0645-0910,1,3,Sáng,"2-9,11-19",C7-205
20251,TDDT,161515,161515,ET4250,Hệ thống viễn thông,3(3-1-0-6),**Tài năng ĐTVT-K67S,1,Thu,0825-1145,3,6,Sáng,"2-9,11-19",C7-107
20251,TDDT,161516,161516,ET4340,Thiết kế VLSI,3(3-1-0-6),**Tài năng ĐTVT-K67S,1,Fri,0825-1145,3,6,Sáng,"2-9,11-19",C7-205
20251,TDDT,161517,161517,ET4361,Hệ thống nhúng và thiết kế giao tiếp nhúng,3(2-1-1-6),**Tài năng ĐTVT-K67S,1,Wed,0920-1145,4,6,Sáng,"2-9,11-19",C7-205
20251,TDDT,161519,161519,EE4829,Điều khiển nối mạng,2(2-1-0-4),**Tài năng Cơ điện tử-K67S,1,Wed,0920-1145,4,6,Sáng,"2-9,11-19",C7-213
20251,TDDT,161525,161525,EE3110,Kỹ thuật đo lường,3(3-0-1-6),**Tài năng ĐKTĐH-K68C,1,Thu,1230-1455,1,3,Chiều,"2-9,11-19",C7-107
20251,TDDT,161526,161526,EE3140,Máy điện I,3(3-0-1-6),**Tài năng ĐKTĐH-K68C,1,Thu,1505-1730,4,6,Chiều,"2-9,11-19",C7-107
20251,TDDT,161527,161527,EE3410,Điện tử công suất,3(3-0-1-6),**Tài năng ĐKTĐH-K68C,1,Fri,1230-1455,1,3,Chiều,"2-9,11-19",C7-107
20251,TDDT,161528,161528,EE3480,Vi xử lý,3(3-0-1-6),**Tài năng ĐKTĐH-K68C,1,Tue,1505-1730,4,6,Chiều,"2-9,11-19",C7-107
20251,TDDT,161529,161529,EE3491,Kỹ thuật lập trình,2(2-1-0-4),**Tài năng ĐKTĐH-K68C,1,Fri,1505-1730,4,6,Chiều,"2-9,11-19",C7-107
20251,TDDT,161530,161530,EE2023,Technical Writing and Presentation,3(2-2-0-6),**Tài năng ĐKTĐH-K68C,1,Wed,1410-1730,3,6,Chiều,"2-9,11-19",C7-107
20251,TDDT,161531,161531,ET2072,Lý thuyết thông tin,2(2-0-1-4),**Tài năng ĐTVT-K68C,1,Mon,1230-1400,1,2,Chiều,"2-9,11-19",C7-107
20251,TDDT,161532,161532,ET3250,Thông tin số,3(3-0-1-6),**Tài năng ĐTVT-K68C,1,Tue,1505-1730,4,6,Chiều,"2-9,11-19",C7-205
20251,TDDT,161533,161533,ET3230,Điện tử tương tự I,3(3-0-1-6),**Tài năng ĐTVT-K68C,1,Tue,1230-1455,1,3,Chiều,"2-9,11-19",C7-205
20251,TDDT,161534,161534,ET3300,Kỹ thuật vi xử lý,3(3-0-1-6),**Tài năng ĐTVT-K68C,1,Fri,1230-1455,1,3,Chiều,"2-9,11-19",C7-205
20251,TDDT,161535,161535,ET3280,Anten và truyền sóng,2(2-0-1-4),**Tài năng ĐTVT-K68C,1,Wed,1230-1400,1,2,Chiều,"2-9,11-19",C7-205
20251,TDDT,161536,161536,ET4020,Xử lý tín hiệu số,3(3-0-1-6),**Tài năng ĐTVT-K68C,1,Fri,1505-1730,4,6,Chiều,"2-9,11-19",C7-205
20251,TDDT,161537,161537,ET2022,Technical Writing and Presentation,3(2-2-0-6),**Tài năng ĐTVT-K68C,1,Wed,1410-1730,3,6,Chiều,"2-9,11-19",C7-205
20251,TDDT,161543,161543,EE3359,Lý thuyết điều khiển tự động,3(3-1-0-6),**Tài năng Cơ điện tử-K68C,1,Mon,1410-1730,3,6,Chiều,"2-9,11-19",C7-119
20251,TDDT,161555,161555,EE2021,Lý thuyết mạch điện I,3(2-1-1-6),**Tài năng TĐH-K69S,1,Tue,0920-1145,4,6,Sáng,"2-9,11-19",C7-203
20251,TDDT,161556,161556,EE2000,Tín hiệu và hệ thống,3(3-0-1-6),**Tài năng TĐH-K69S,1,Tue,0645-0910,1,3,Sáng,"2-9,11-19",C7-203
20251,TDDT,161558,161558,EE2031,Trường điện từ,3(3-0-1-6),**Tài năng TĐH-K69S,1,Thu,0920-1145,4,6,Sáng,"2-9,11-19",C7-203
20251,TDDT,161560,161560,ET2040,Cấu kiện điện tử,3(3-0-1-6),**Tài năng Điện tử VT-K69S,1,Tue,0645-0910,1,3,Sáng,"2-9,11-19",C7-234
20251,TDDT,161561,161561,ET2060,Tín hiệu và hệ thống,3(3-1-0-6),**Tài năng Điện tử VT-K69S,1,Wed,0645-1005,1,4,Sáng,"2-9,11-19",C7-234
